fixture_id,home_team_id,home_team_name,home_team_logo,away_team_id,away_team_name,away_team_logo,kickoff_utc,status,round,venue
23,1037,Portugal,https://flagcdn.com/w80/pt.png,1010,DR Congo,https://flagcdn.com/w80/cd.png,2026-06-17 18:00:00+00,OPEN,Group Stage - Group K,HOUSTON
24,1048,Uzbekistan,https://flagcdn.com/w80/uz.png,1011,Colombia,https://flagcdn.com/w80/co.png,2026-06-18 04:00:00+00,OPEN,Group Stage - Group K,MEXICO CITY
25,1015,Czechia,https://flagcdn.com/w80/cz.png,1039,South Africa,https://flagcdn.com/w80/za.png,2026-06-18 16:00:00+00,OPEN,Group Stage - Group A,ATLANTA
26,1042,Switzerland,https://flagcdn.com/w80/ch.png,1006,Bosnia-Herzegovina,https://flagcdn.com/w80/ba.png,2026-06-18 22:00:00+00,OPEN,Group Stage - Group B,LOS ANGELES
27,1008,Canada,https://flagcdn.com/w80/ca.png,1038,Qatar,https://flagcdn.com/w80/qa.png,2026-06-19 01:00:00+00,OPEN,Group Stage - Group B,VANCOUVER
28,1031,Mexico,https://flagcdn.com/w80/mx.png,1028,South Korea,https://flagcdn.com/w80/kr.png,2026-06-19 03:00:00+00,OPEN,Group Stage - Group A,GUADALAJARA
29,1007,Brazil,https://flagcdn.com/w80/br.png,1023,Haiti,https://flagcdn.com/w80/ht.png,2026-06-20 00:30:00+00,OPEN,Group Stage - Group C,PHILADELPHIA
30,1040,Scotland,https://flagcdn.com/w80/gb-sct.png,1030,Morocco,https://flagcdn.com/w80/ma.png,2026-06-19 22:00:00+00,OPEN,Group Stage - Group C,BOSTON
31,1045,Turkey,https://flagcdn.com/w80/tr.png,1036,Paraguay,https://flagcdn.com/w80/py.png,2026-06-20 06:00:00+00,OPEN,Group Stage - Group D,SAN FRANCISCO BAY AREA
32,1047,United States,https://flagcdn.com/w80/us.png,1003,Australia,https://flagcdn.com/w80/au.png,2026-06-19 22:00:00+00,OPEN,Group Stage - Group D,SEATTLE
33,1021,Germany,https://flagcdn.com/w80/de.png,1009,Côte d'Ivoire,https://flagcdn.com/w80/ci.png,2026-06-20 20:00:00+00,OPEN,Group Stage - Group E,TORONTO
34,1016,Ecuador,https://flagcdn.com/w80/ec.png,1014,Curaçao,https://flagcdn.com/w80/cw.png,2026-06-21 01:00:00+00,OPEN,Group Stage - Group E,KANSAS CITY
35,1032,Netherlands,https://flagcdn.com/w80/nl.png,1043,Sweden,https://flagcdn.com/w80/se.png,2026-06-20 18:00:00+00,OPEN,Group Stage - Group F,HOUSTON
36,1044,Tunisia,https://flagcdn.com/w80/tn.png,1027,Japan,https://flagcdn.com/w80/jp.png,2026-06-20 06:00:00+00,OPEN,Group Stage - Group F,MONTERREY
37,1046,Uruguay,https://flagcdn.com/w80/uy.png,1012,Cape Verde,https://flagcdn.com/w80/cv.png,2026-06-21 22:00:00+00,OPEN,Group Stage - Group H,MIAMI
38,1019,Spain,https://flagcdn.com/w80/es.png,1029,Saudi Arabia,https://flagcdn.com/w80/sa.png,2026-06-21 16:00:00+00,OPEN,Group Stage - Group H,ATLANTA
39,1005,Belgium,https://flagcdn.com/w80/be.png,1024,Iran,https://flagcdn.com/w80/ir.png,2026-06-21 22:00:00+00,OPEN,Group Stage - Group G,LOS ANGELES
40,1034,New Zealand,https://flagcdn.com/w80/nz.png,1017,Egypt,https://flagcdn.com/w80/eg.png,2026-06-22 04:00:00+00,OPEN,Group Stage - Group G,VANCOUVER
